TransactionID,Item
1,Bread
1,Beef
1,Cheese
2,Bananas
3,Bread
3,Chicken
4,Eggs
4,Butter
5,Eggs
5,Beef
5,Cheese
6,Chicken
6,Apples
6,Cereal
6,Butter
7,Cereal
7,Eggs
7,Apples
8,Chicken
8,Eggs
8,Cheese
8,Butter
8,Bananas
9,Cereal
9,Bread
9,Bananas
9,Milk
10,Cereal
10,Bananas
11,Milk
12,Bananas
12,Apples
12,Milk
12,Eggs
12,Chicken
13,Eggs
13,Milk
14,Cereal
14,Beef
14,Cheese
15,Bananas
15,Apples
15,Bread
15,Beef
16,Beef
16,Butter
16,Milk
17,Milk
17,Butter
18,Butter
18,Milk
18,Cheese
19,Bread
19,Cereal
19,Butter
19,Cheese
19,Bananas
20,Eggs
20,Butter
20,Cheese
21,Cheese
21,Apples
22,Bread
22,Cereal
22,Cheese
23,Butter
23,Apples
23,Cheese
23,Eggs
23,Bread
24,Eggs
24,Bread
24,Apples
25,Eggs
26,Bread
26,Chicken
27,Cereal
27,Beef
27,Bread
27,Cheese
28,Cheese
28,Bananas
29,Eggs
29,Chicken
29,Cheese
29,Beef
30,Cereal
30,Milk
30,Chicken
31,Chicken
31,Bread
31,Eggs
32,Butter
32,Eggs
32,Cheese
33,Butter
34,Cereal
34,Butter
34,Milk
34,Cheese
35,Apples
36,Beef
36,Eggs
36,Bread
36,Apples
37,Cereal
37,Butter
37,Apples
37,Milk
37,Cheese
38,Cereal
38,Cheese
38,Milk
39,Eggs
39,Cheese
39,Apples
39,Bread
40,Cereal
41,Cheese
41,Eggs
41,Apples
41,Chicken
41,Bananas
42,Bread
43,Milk
43,Butter
43,Apples
44,Bananas
44,Chicken
44,Milk
44,Beef
45,Beef
45,Bananas
45,Eggs
45,Milk
46,Butter
46,Cheese
46,Apples
46,Bananas
46,Eggs
47,Milk
47,Bananas
48,Bread
49,Butter
49,Eggs
49,Beef
50,Eggs
50,Apples
51,Apples
52,Cheese
53,Apples
53,Bread
54,Bananas
54,Cereal
54,Milk
54,Eggs
55,Apples
55,Chicken
55,Butter
55,Bananas
55,Eggs
56,Milk
56,Apples
56,Bread
56,Eggs
56,Chicken
57,Cereal
57,Butter
57,Bananas
57,Eggs
57,Apples
58,Butter
58,Chicken
58,Beef
58,Cereal
58,Bread
59,Cereal
59,Beef
59,Cheese
59,Butter
59,Bananas
60,Beef
60,Cheese
60,Bread
60,Chicken
60,Apples
61,Cheese
61,Chicken
61,Butter
61,Milk
61,Eggs
62,Milk
62,Chicken
62,Cereal
63,Apples
64,Bread
64,Beef
64,Milk
64,Cereal
65,Milk
65,Chicken
66,Eggs
66,Cereal
67,Butter
68,Milk
68,Bananas
68,Beef
68,Eggs
68,Chicken
69,Apples
70,Beef
70,Bananas
70,Cheese
70,Butter
70,Eggs
71,Cheese
71,Butter
71,Beef
71,Milk
71,Cereal
72,Milk
72,Bread
72,Cheese
72,Eggs
73,Bananas
73,Milk
73,Eggs
73,Chicken
74,Butter
74,Milk
75,Cheese
76,Chicken
77,Chicken
77,Beef
77,Bananas
78,Apples
79,Milk
79,Eggs
79,Butter
79,Apples
79,Cereal
80,Cereal
80,Beef
80,Apples
81,Apples
81,Bananas
81,Chicken
81,Bread
82,Milk
82,Bread
82,Beef
82,Bananas
83,Bread
84,Chicken
84,Cheese
84,Butter
85,Cereal
85,Bananas
85,Milk
85,Eggs
86,Cheese
86,Eggs
86,Milk
87,Chicken
88,Chicken
88,Apples
88,Eggs
88,Cereal
89,Beef
89,Bananas
89,Butter
89,Bread
90,Apples
90,Milk
90,Cheese
90,Beef
90,Bread
91,Chicken
91,Cheese
91,Butter
91,Milk
91,Apples
92,Eggs
92,Bananas
92,Cereal
93,Bread
93,Beef
93,Cereal
93,Apples
93,Milk
94,Cheese
94,Eggs
94,Bread
94,Cereal
94,Bananas
95,Bread
95,Butter
95,Cereal
96,Chicken
96,Milk
96,Cheese
96,Apples
97,Bananas
97,Chicken
97,Cheese
97,Bread
97,Milk
98,Apples
98,Cheese
99,Eggs
99,Butter
99,Beef
99,Bread
99,Apples
100,Butter
